date,star,review,dow,dow_name,is_weekend,month
2025-07-23,4.0,옛날그맛 추억 그대로 김치는 조금 더 매워진것같아요,2,수,False,7
2025-07-23,5.0,"명동교자 본점 여전히 사람 많네요
김치가 알싸하게 매워요",2,수,False,7
2025-07-22,5.0,여기서만 맛볼 수 있는 맛!,1,화,False,7
2025-07-20,4.0,"예전에 참 충격적이게 맛있었는데 내가 변한건지,이곳이 변한건지..조금 짜고 이젠 먹다보면 속이 살짝 느글느글해진다김치가 맛있고, 그래도 여기만의 맛이 있는 곳!!
왜 사람이 많은지 먹어보면 수긍하게 되는 맛.",6,일,True,7
2025-07-17,5.0,언제나 변합없는 맛과 종업원분들은 친절하고 신속정확한 써비스 만족합니다,3,목,False,7
2025-07-13,5.0,"변하지않는맛..
너무맛있습니다..",6,일,True,7
2025-07-13,4.0,"오랜만에 방문했는데 인기와 맛은 여전하네요. 미리결제하고 번호대로 들어가니 편하고 좋습니다.
리필도 빨리해주고 잘먹었습니다",6,일,True,7
2025-07-11,4.0,"오랜만에 방문했는데 여전히 맛있어요
불친절한건 모르겠구...
음식 빨리나오고 여전히 맛있... 더보기",4,금,False,7
2025-07-08,1.0,2층 목소리 큰 알바 외국인 개무시하고 친절도 많이 떨어짐 오래다녔지만 많이 변했음,1,화,False,7
2025-07-06,1.0,이물질 나와도 절대 환불 안 해줌 그저 야채 탄 거라는 이상한 소리만 반복함 기사 보니까 위생상태로 말 많았는데 왜 가는 거지? 건물은 새 거라도 위생관념이 안 바뀌면 똑같음,6,일,True,7
2025-07-04,1.0,"여러 아쉬운 점이 있지만, 그 중 만두찜기가 플라스틱이라는 게 충격적이었어요. 테이블도 대충 닦고, 화장실은 공용 비누 하나 매달아 놓고.. 음식 맛도 그냥 그렇고요.",4,금,False,7
2025-07-03,4.0,은근 중독성 있음,3,목,False,7
2025-07-02,1.0,"1. 엄청 짜요..
2. 불친절해요  다른 테이블 외국분이 말을 못알아듣는데 본인 할말만 하고 가버리시더라고요
3. 면은 불어있고 제가 있는 테이블 사람들은 만두만먹고 면은 다 남기더라고요",2,수,False,7
2025-07-01,5.0,비빔국수가 너무 맛있어요,1,화,False,7
2025-06-29,4.0,"명동 나갈때 마다 가는곳인데.
이번에는 새로이 오픈한곳에 고고.
역시나 술술 넘어 가는... 더보기",6,일,True,6
2025-06-29,5.0,"이렇게 맛있고 가성비 좋은집을 왜들 그렇게 욕하는지 모르겠어요....
전 맛있고 좋기만 한데",6,일,True,6
2025-06-28,1.0,"한국인 차별하는 곳이니 외국인이면 가세요.
한국인보다 외국인들이 왕이고, 한국인 메뉴 늦게 주는게 당연한 곳. 특히 혼자 오면.

명동교자 한두번 온 거... 더보기",5,토,True,6
2025-06-26,1.0,"15년전에 명동성당과 가까운 곳에 있어서 지나가다 가끔 들려 먹곤했던 장소였어여.
최근에 갔다가 ..확장되어 크고 실내가 정리된 것은 좋은데.. 내 입맛이 변했을까요.? 안타까워요. 번잡한것 그 때도 그랬는데 직원들도 불친절해요.",3,목,False,6
2025-06-26,1.0,명동교자 언론 기사 찾아보세요. 위생 문제 관련기사 많습니다.,3,목,False,6
